ID,Assay,Structure,Location,Date,Species,Weigth_in,Grazing
36_2,36,2,Wasini,22/11/2018,Thalassia,1.88,24.22752136
36_3,36,3,Wasini,22/11/2018,Padina,22.9,76.85371447
36_3,36,3,Wasini,22/11/2018,Sargassum,48.56,58.44050857
36_3,36,3,Wasini,22/11/2018,Thalassia,1.68,56.97071043
36_4,36,4,Wasini,22/11/2018,Padina,15.07,80.32239867
36_4,36,4,Wasini,22/11/2018,Sargassum,37.77,89.61414335
36_4,36,4,Wasini,22/11/2018,Thalassia,1.52,56.63766639
36_5,36,5,Wasini,22/11/2018,Padina,16,31.32630019
36_5,36,5,Wasini,22/11/2018,Sargassum,39,95.31043764
36_5,36,5,Wasini,22/11/2018,Thalassia,1.12,0
36_6,36,6,Wasini,22/11/2018,Padina,16.88,49.58856419
36_6,36,6,Wasini,22/11/2018,Sargassum,40.78,30.68558617
36_6,36,6,Wasini,22/11/2018,Thalassia,1.36,35.90273646
36_7,36,7,Wasini,22/11/2018,Padina,18.11,83.62554102
36_7,36,7,Wasini,22/11/2018,Sargassum,37.46,36.79878616
36_7,36,7,Wasini,22/11/2018,Thalassia,1.3,28.037894
36_8,36,8,Wasini,22/11/2018,Padina,22.5,73.57709015
36_8,36,8,Wasini,22/11/2018,Sargassum,32.12,99.01826699
36_8,36,8,Wasini,22/11/2018,Thalassia,1.16,24.85148413
40_1,40,1,Pilli Pipa,27/11/2018,Padina,20.5,79.28646833
40_1,40,1,Pilli Pipa,27/11/2018,Sargassum,46.4,91.08237157
40_1,40,1,Pilli Pipa,27/11/2018,Thalassia,1.51,57.97807178
40_10,40,10,Pilli Pipa,27/11/2018,Padina,23.21,49.76950517
40_10,40,10,Pilli Pipa,27/11/2018,Sargassum,44.37,7.502817408
40_10,40,10,Pilli Pipa,27/11/2018,Thalassia,1.46,0
40_11,40,11,Pilli Pipa,27/11/2018,Padina,21.46,72.24237097
40_11,40,11,Pilli Pipa,27/11/2018,Sargassum,41.46,2.664304244
40_11,40,11,Pilli Pipa,27/11/2018,Thalassia,1.52,0
40_2,40,2,Pilli Pipa,27/11/2018,Padina,19.82,70.32409343
40_2,40,2,Pilli Pipa,27/11/2018,Sargassum,38.96,66.22407243
40_2,40,2,Pilli Pipa,27/11/2018,Thalassia,2.05,63.97304338
40_3,40,3,Pilli Pipa,27/11/2018,Padina,21.97,54.51525645
40_3,40,3,Pilli Pipa,27/11/2018,Sargassum,44.15,40.68881078
40_3,40,3,Pilli Pipa,27/11/2018,Thalassia,1.59,0
40_4,40,4,Pilli Pipa,27/11/2018,Padina,22.23,38.57806306
40_4,40,4,Pilli Pipa,27/11/2018,Sargassum,41.26,16.15666034
40_4,40,4,Pilli Pipa,27/11/2018,Thalassia,1.63,15.76173455
40_5,40,5,Pilli Pipa,27/11/2018,Padina,24.48,70.08906516
40_5,40,5,Pilli Pipa,27/11/2018,Sargassum,47.46,23.05454995
40_5,40,5,Pilli Pipa,27/11/2018,Thalassia,1.56,0
40_6,40,6,Pilli Pipa,27/11/2018,Padina,18.85,66.40901998
40_6,40,6,Pilli Pipa,27/11/2018,Sargassum,33.9,94.67768626
40_6,40,6,Pilli Pipa,27/11/2018,Thalassia,1.47,0
40_8,40,8,Pilli Pipa,27/11/2018,Padina,20.86,8.721415601
40_8,40,8,Pilli Pipa,27/11/2018,Sargassum,41,32.81682311
40_8,40,8,Pilli Pipa,27/11/2018,Thalassia,1.49,0.865421392
40_9,40,9,Pilli Pipa,27/11/2018,Padina,19.7,10.04915455
40_9,40,9,Pilli Pipa,27/11/2018,Sargassum,41.36,51.34535348
40_9,40,9,Pilli Pipa,27/11/2018,Thalassia,1.6,23.28414784
42_1,42,1,Lower Mpunguti,30/11/2018,Padina,13.9,65.26672782
42_1,42,1,Lower Mpunguti,30/11/2018,Sargassum,48.43,77.48417657
42_1,42,1,Lower Mpunguti,30/11/2018,Thalassia,1.48,0
42_2,42,2,Lower Mpunguti,30/11/2018,Padina,16.36,58.83657594
42_2,42,2,Lower Mpunguti,30/11/2018,Sargassum,37.29,0.86968508
42_2,42,2,Lower Mpunguti,30/11/2018,Thalassia,1.45,0
42_3,42,3,Lower Mpunguti,30/11/2018,Padina,16.55,66.34028701
42_3,42,3,Lower Mpunguti,30/11/2018,Sargassum,45.66,27.36206847
42_3,42,3,Lower Mpunguti,30/11/2018,Thalassia,1.42,55.14452329
42_5,42,5,Lower Mpunguti,30/11/2018,Padina,16.36,87.21209804
42_5,42,5,Lower Mpunguti,30/11/2018,Sargassum,40.41,0
42_5,42,5,Lower Mpunguti,30/11/2018,Thalassia,1.4,58.56589766
43_10,43,10,Dolphin Point,30/11/2018,Padina,22.09,55.95455035
43_10,43,10,Dolphin Point,30/11/2018,Sargassum,35.67,88.90986725
43_10,43,10,Dolphin Point,30/11/2018,Thalassia,2,57.11076148
43_6,43,6,Dolphin Point,30/11/2018,Padina,17.33,65.34303815
43_6,43,6,Dolphin Point,30/11/2018,Sargassum,37.38,86.92463829
43_6,43,6,Dolphin Point,30/11/2018,Thalassia,1.39,45.06615805
43_7,43,7,Dolphin Point,30/11/2018,Padina,18.09,56.39165068
43_7,43,7,Dolphin Point,30/11/2018,Sargassum,38.19,77.17307681
43_7,43,7,Dolphin Point,30/11/2018,Thalassia,1.42,64.38713468
43_8,43,8,Dolphin Point,30/11/2018,Padina,15.89,50.571562
43_8,43,8,Dolphin Point,30/11/2018,Sargassum,45.82,48.12678732
43_8,43,8,Dolphin Point,30/11/2018,Thalassia,1.58,0
43_9,43,9,Dolphin Point,30/11/2018,Padina,16.47,56.0106197
43_9,43,9,Dolphin Point,30/11/2018,Sargassum,44,19.31886357
